Supplier_ID,Supplier_Name,Contact_Person,Mobile_Number,City,State,Country,Lead_Time_Days,Supplier_Rating
SUP0001,Dell Supplier 1,Aarav Gupta,+918051802512,Lucknow,Uttar Pradesh,India,9,3.4
SUP0002,Tata Supplier 2,Aditya Shetty,+918812140441,Mumbai,Maharashtra,India,3,3.3
SUP0003,Adidas Supplier 3,Sneha Khan,+917113971123,Hyderabad,Telangana,India,8,4.4
SUP0004,Tata Supplier 4,Sara Nair,+918929338154,Kochi,Kerala,India,10,4.6
SUP0005,Lenovo Supplier 5,Rahul Panda,+918461364854,Bangalore,Karnataka,India,10,3.5
SUP0006,LG Supplier 6,Arjun Patel,+918631775357,Dubai,Dubai,UAE,5,3.8
SUP0007,Penguin Supplier 7,Ishaan Das,+918973214822,Pune,Maharashtra,India,5,4.9
SUP0008,Sony Supplier 8,Pooja Mehta,+919699987374,Kolkata,West Bengal,India,13,4.2
SUP0009,Sony Supplier 9,Vivaan Nair,+918242911821,Kochi,Kerala,India,4,4.7
SUP0010,Dell Supplier 10,Ira Gupta,+918947382419,Abu Dhabi,Abu Dhabi,UAE,13,3.5
SUP0011,Nike Supplier 11,Amit Gupta,+919935814872,Pune,Maharashtra,India,4,4.2
SUP0012,Tata Supplier 12,Vikram Nair,+917701808367,Delhi,Delhi,India,16,3.8
SUP0013,Tata Supplier 13,Krishna Joshi,+917240251661,Lucknow,Uttar Pradesh,India,9,4.6
SUP0014,LG Supplier 14,Ira Gupta,+917284277889,Dubai,Dubai,UAE,8,4.8
SUP0015,LG Supplier 15,Ayaan Chatterjee,+918699226064,Jaipur,Rajasthan,India,16,3.4
SUP0016,Adidas Supplier 16,Vikram Iyer,+919314889832,Delhi,Delhi,India,10,4.5
SUP0017,HUL Supplier 17,Ira Parida,+917941975480,Kolkata,West Bengal,India,6,4.1
SUP0018,Samsung Supplier 18,Soumya Reddy,+917656448479,Mumbai,Maharashtra,India,7,4.5
SUP0019,Penguin Supplier 19,Aditya Mangaraj,+918639042338,Kolkata,West Bengal,India,16,4.1
SUP0020,Apple Supplier 20,Amit Reddy,+919927923735,Ahmedabad,Gujarat,India,10,4.5
SUP0021,Dell Supplier 21,Shaurya Panda,+917679282378,Pune,Maharashtra,India,16,3.2
SUP0022,Puma Supplier 22,Sneha Kumar,+919180476188,Kochi,Kerala,India,5,4.7
SUP0023,Nestle Supplier 23,Anika Mishra,+917656439677,Chennai,Tamil Nadu,India,13,4.5
SUP0024,Nestle Supplier 24,Ankita Sharma,+919572447412,Ahmedabad,Gujarat,India,12,4.0
SUP0025,Philips Supplier 25,Saroj Mehta,+918028439863,Mumbai,Maharashtra,India,3,3.6
SUP0026,Sony Supplier 26,Aditya Chatterjee,+917297265480,Jaipur,Rajasthan,India,6,3.4
SUP0027,Tata Supplier 27,Reyansh Gupta,+919266341635,Bhubaneswar,Odisha,India,15,4.8
SUP0028,Nike Supplier 28,Rahul Mehta,+918713658874,Ahmedabad,Gujarat,India,13,3.9
SUP0029,Maybelline Supplier 29,Arjun Nair,+917965067727,Ahmedabad,Gujarat,India,4,3.8
SUP0030,Tata Supplier 30,Krishna Shetty,+917945826486,Jaipur,Rajasthan,India,2,3.3
SUP0031,Samsung Supplier 31,Krishna Patel,+917134917627,Lucknow,Uttar Pradesh,India,12,3.3
SUP0032,Puma Supplier 32,Amit Chatterjee,+917920140090,Hyderabad,Telangana,India,6,4.4
SUP0033,HUL Supplier 33,Priya Nair,+919031403296,Jaipur,Rajasthan,India,15,3.5
SUP0034,IKEA Supplier 34,Diya Panda,+918765670844,Mumbai,Maharashtra,India,16,4.7
SUP0035,Dell Supplier 35,Vivaan Mangaraj,+918457293575,Bangalore,Karnataka,India,5,3.6
SUP0036,Tata Supplier 36,Aarohi Singh,+918811967841,Hyderabad,Telangana,India,7,3.7
SUP0037,Sony Supplier 37,Aarohi Iyer,+917420514789,Hyderabad,Telangana,India,3,4.3
SUP0038,Apple Supplier 38,Aditya Nair,+917714300770,Ahmedabad,Gujarat,India,15,4.0
SUP0039,Prestige Supplier 39,Saroj Das,+917707111048,Hyderabad,Telangana,India,14,3.2
SUP0040,Puma Supplier 40,Ankita Rao,+918225136114,Kolkata,West Bengal,India,15,4.4
SUP0041,Tata Supplier 41,Amit Chatterjee,+917664847319,Kochi,Kerala,India,8,3.7
SUP0042,HUL Supplier 42,Vikram Iyer,+917261810763,Bangalore,Karnataka,India,12,3.3
SUP0043,Lakme Supplier 43,Sneha Verma,+917676168421,Jaipur,Rajasthan,India,3,4.8
SUP0044,Lenovo Supplier 44,Aditya Khan,+917291889680,Mumbai,Maharashtra,India,9,3.9
SUP0045,Adidas Supplier 45,Neha Khan,+917170689150,Jaipur,Rajasthan,India,4,3.9
SUP0046,HUL Supplier 46,Sneha Joshi,+918119980130,Jaipur,Rajasthan,India,8,4.3
SUP0047,Adidas Supplier 47,Ishaan Mangaraj,+917562117925,Pune,Maharashtra,India,11,4.0
SUP0048,Sony Supplier 48,Aarav Rao,+919667858669,Dubai,Dubai,UAE,5,3.3
SUP0049,Nestle Supplier 49,Ishaan Singh,+918498981529,Hyderabad,Telangana,India,4,4.7
SUP0050,Boat Supplier 50,Reyansh Rao,+919333103372,Pune,Maharashtra,India,11,4.2
SUP0051,Nestle Supplier 51,Aarav Iyer,+918285821930,Dubai,Dubai,UAE,5,4.8
SUP0052,Puma Supplier 52,Arjun Reddy,+919376077463,Delhi,Delhi,India,6,3.7
SUP0053,Nike Supplier 53,Rahul Joshi,+917874443787,Jaipur,Rajasthan,India,10,4.1
SUP0054,Samsung Supplier 54,Aditya Panda,+918188332531,Chennai,Tamil Nadu,India,3,3.2
SUP0055,HP Supplier 55,Rohan Gupta,+917693989311,Dubai,Dubai,UAE,16,4.1
SUP0056,Tata Supplier 56,Aarav Reddy,+917323169889,Kolkata,West Bengal,India,6,4.1
SUP0057,Philips Supplier 57,Neha Iyer,+917636057975,Abu Dhabi,Abu Dhabi,UAE,15,3.4
SUP0058,Philips Supplier 58,Saroj Das,+918536778950,Chennai,Tamil Nadu,India,8,4.4
SUP0059,Dell Supplier 59,Diya Iyer,+918745377599,Lucknow,Uttar Pradesh,India,6,4.8
SUP0060,Lenovo Supplier 60,Sanjay Kumar,+918770791023,Hyderabad,Telangana,India,2,3.5
SUP0061,IKEA Supplier 61,Sanjay Nair,+918145921803,Pune,Maharashtra,India,7,4.5
SUP0062,Prestige Supplier 62,Soumya Das,+919021598245,Mumbai,Maharashtra,India,9,3.5
SUP0063,Philips Supplier 63,Shaurya Nair,+917957449367,Bhubaneswar,Odisha,India,2,4.3
SUP0064,LG Supplier 64,Ishaan Patel,+918198832728,Kolkata,West Bengal,India,13,4.3
SUP0065,Tata Supplier 65,Anaya Sharma,+917495389030,Kolkata,West Bengal,India,10,3.5
SUP0066,Samsung Supplier 66,Arjun Khan,+918866437132,Chennai,Tamil Nadu,India,13,4.4
SUP0067,IKEA Supplier 67,Anika Verma,+917496694873,Pune,Maharashtra,India,14,4.7
SUP0068,Puma Supplier 68,Vivaan Panda,+917007263971,Hyderabad,Telangana,India,18,4.8
SUP0069,Nike Supplier 69,Diya Panda,+917300535210,Ahmedabad,Gujarat,India,12,4.3
SUP0070,Dell Supplier 70,Vikram Mehta,+919178074590,Lucknow,Uttar Pradesh,India,11,4.3
SUP0071,Prestige Supplier 71,Rahul Mehta,+919381183483,Pune,Maharashtra,India,6,3.5
SUP0072,Prestige Supplier 72,Amit Kumar,+919643616431,Lucknow,Uttar Pradesh,India,11,3.9
SUP0073,Apple Supplier 73,Shaurya Mehta,+917902727745,Abu Dhabi,Abu Dhabi,UAE,15,4.5
SUP0074,LG Supplier 74,Aarohi Rao,+918899061865,Jaipur,Rajasthan,India,8,4.1
SUP0075,Lenovo Supplier 75,Amit Patel,+918218853328,Dubai,Dubai,UAE,18,4.3
SUP0076,LG Supplier 76,Aditya Nair,+919889635392,Jaipur,Rajasthan,India,11,3.6
SUP0077,HP Supplier 77,Aarav Das,+918051590706,Hyderabad,Telangana,India,17,4.2
SUP0078,Sony Supplier 78,Aarohi Panda,+919704821724,Dubai,Dubai,UAE,8,4.4
SUP0079,Lakme Supplier 79,Ira Nair,+917633814084,Kolkata,West Bengal,India,2,4.7
SUP0080,Dell Supplier 80,Karan Panda,+917939915527,Abu Dhabi,Abu Dhabi,UAE,7,4.6
SUP0081,Nestle Supplier 81,Aarohi Das,+919394039673,Kochi,Kerala,India,9,4.8
SUP0082,Maybelline Supplier 82,Sai Rao,+919867224513,Mumbai,Maharashtra,India,18,4.9
SUP0083,LG Supplier 83,Karan Rao,+919631321682,Jaipur,Rajasthan,India,18,3.9
SUP0084,Maybelline Supplier 84,Saroj Kumar,+919038711176,Ahmedabad,Gujarat,India,16,3.6
SUP0085,Puma Supplier 85,Karan Verma,+919081328344,Hyderabad,Telangana,India,9,3.7
SUP0086,Boat Supplier 86,Krishna Gupta,+918442454200,Mumbai,Maharashtra,India,12,4.7
SUP0087,HP Supplier 87,Sai Nair,+918645124051,Mumbai,Maharashtra,India,6,4.4
SUP0088,IKEA Supplier 88,Sara Joshi,+919330497115,Mumbai,Maharashtra,India,16,3.9
SUP0089,IKEA Supplier 89,Ira Shetty,+919987248494,Hyderabad,Telangana,India,2,4.7
SUP0090,HUL Supplier 90,Ira Chatterjee,+917025323460,Dubai,Dubai,UAE,13,3.7
SUP0091,IKEA Supplier 91,Pooja Iyer,+919590950133,Kolkata,West Bengal,India,9,4.0
SUP0092,IKEA Supplier 92,Priya Sharma,+918670128972,Chennai,Tamil Nadu,India,12,4.3
SUP0093,Prestige Supplier 93,Vikram Kumar,+919007425404,Dubai,Dubai,UAE,6,4.9
SUP0094,Apple Supplier 94,Ankita Mangaraj,+919542160120,Ahmedabad,Gujarat,India,2,3.3
SUP0095,HP Supplier 95,Soumya Rao,+917780520225,Kolkata,West Bengal,India,3,3.6
SUP0096,Nike Supplier 96,Aarohi Joshi,+918449553823,Pune,Maharashtra,India,14,3.7
SUP0097,IKEA Supplier 97,Ishaan Patel,+919019952485,Abu Dhabi,Abu Dhabi,UAE,2,4.5
SUP0098,Philips Supplier 98,Krishna Patel,+919799264931,Bangalore,Karnataka,India,3,4.5
SUP0099,Nike Supplier 99,Prakash Sharma,+919668616333,Hyderabad,Telangana,India,6,3.6
SUP0100,Dell Supplier 100,Neha Mishra,+918997305752,Bhubaneswar,Odisha,India,10,4.5
SUP0101,Penguin Supplier 101,Anika Reddy,+917703368777,Delhi,Delhi,India,11,3.4
SUP0102,Boat Supplier 102,Neha Mangaraj,+918703617827,Bangalore,Karnataka,India,8,3.3
SUP0103,Adidas Supplier 103,Arjun Mehta,+919938870196,Kochi,Kerala,India,5,4.6
SUP0104,Samsung Supplier 104,Diya Iyer,+918839869544,Jaipur,Rajasthan,India,13,3.3
SUP0105,LG Supplier 105,Aarav Panda,+919105400301,Lucknow,Uttar Pradesh,India,5,3.9
SUP0106,Maybelline Supplier 106,Rahul Singh,+918870403050,Pune,Maharashtra,India,7,4.4
SUP0107,Puma Supplier 107,Anika Iyer,+919076605983,Lucknow,Uttar Pradesh,India,16,3.9
SUP0108,HUL Supplier 108,Ishaan Joshi,+918054393708,Kochi,Kerala,India,4,3.7
SUP0109,Adidas Supplier 109,Karan Rao,+919447485590,Bhubaneswar,Odisha,India,14,3.8
